tf-idf,length,position,present_early,present_end,keyword
2.995732274,8,0,1,0,0
8.987196821,10,0.000113148,1,0,0
0,3,0.000226296,1,0,0
2.995732274,14,0.000339443,1,0,0
2.302585093,7,0.000452591,1,0,0
0,3,0.000565739,1,0,0
35.94878728,6,0.000678887,1,0,1
11.98292909,6,0.000792034,1,0,0
2.995732274,7,0.000905182,1,0,0
0,3,0.00101833,1,0,0
8.987196821,13,0.001131478,1,0,0
2.995732274,12,0.001244625,1,0,0
0,8,0.001357773,1,0,0
0,3,0.001470921,1,0,0
0,4,0.001584069,1,0,0
0,6,0.001697217,1,0,0
0,2,0.001810364,1,0,1
0,4,0.001923512,1,0,0
0,5,0.00203666,1,0,0
0,2,0.002149808,1,0,0
0,2,0.002262955,1,0,0
7.624618986,8,0.002376103,1,0,0
59.91464547,9,0.002489251,1,0,1
0,3,0.000226296,1,0,0
0,3,0.002715547,1,0,0
0,11,0.002828694,1,0,1
47.13400828,7,0.002941842,1,0,0
0,2,0.00305499,1,0,0
0,1,0.003168138,1,0,0
2.995732274,5,0.003281285,1,0,0
0,4,0.003394433,1,0,0
0,2,0.001810364,1,0,1
150.5077954,7,0.003620729,1,0,1
0,1,0.003733876,1,0,0
0,1,0.003847024,1,0,0
0,1,0.003168138,1,0,0
20.97012591,4,0.00407332,1,0,0
0,1,0.004186468,1,0,0
2.995732274,3,0.004299615,1,0,0
2.995732274,12,0.004412763,1,0,0
1.098612289,7,0.004525911,1,0,0
6.238324625,1,0.004639059,1,0,0
0,1,0.003847024,1,0,0
0,1,0.004865354,1,0,0
0,1,0.003168138,1,0,0
0,3,0.000565739,1,0,0
5.493061443,1,0.005204797,1,0,0
0,1,0.003847024,1,0,0
0,1,0.004865354,1,0,0
0,1,0.003733876,1,0,0
0,1,0.005657389,1,0,0
0,2,0.005770536,1,0,0
7.690286021,9,0.005883684,1,0,0
7.624618986,8,0.002376103,1,0,0
6.238324625,1,0.004639059,1,0,0
8.047189562,1,0.006223127,1,0,0
6.238324625,1,0.004639059,1,0,0
2.995732274,7,0.006449423,1,0,0
9.210340372,8,0.006562571,1,0,0
0,3,0.000226296,1,0,0
0,5,0.006788866,1,0,0
0,2,0.006902014,1,0,0
5.493061443,1,0.005204797,1,0,0
8.047189562,1,0.006223127,1,0,0
5.493061443,1,0.005204797,1,0,0
2.995732274,10,0.007354605,1,0,0
0,2,0.002149808,1,0,0
2.995732274,14,0.007580901,1,0,0
2.995732274,6,0.007694048,1,0,0
0,2,0.007807196,1,0,0
2.995732274,9,0.007920344,1,0,0
9.210340372,8,0.006562571,1,0,0
0,2,0.001810364,1,0,1
29.95732274,9,0.008259787,1,0,0
7.167037877,7,0.008372935,1,0,0
0,4,0.001923512,1,0,0
0,5,0.008599231,1,0,0
0,2,0.002262955,1,0,0
7.624618986,8,0.002376103,1,0,0
15.94238515,12,0.008938674,1,0,1
0,2,0.001810364,1,0,1
8.987196821,8,0.009164969,1,0,0
29.95732274,9,0.008259787,1,0,0
17.70381704,6,0.009391265,1,0,1
0,2,0.001810364,1,0,1
11.09035489,4,0.009617561,1,0,0
6.238324625,1,0.004639059,1,0,0
0,1,0.004186468,1,0,0
0,4,0.009957004,1,0,0
1.609437912,7,0.010070152,1,0,0
6.931471806,8,0.010183299,1,0,0
0,3,0.00101833,1,0,0
0,8,0.010409595,1,0,0
4.852030264,5,0.010522743,1,0,0
0,2,0.001810364,1,0,1
0,1,0.003733876,1,0,0
0,1,0.003847024,1,0,0
5.991464547,4,0.010975334,1,0,0
0,2,0.001810364,1,0,1
11.98292909,6,0.011201629,1,0,0
8.987196821,8,0.011314777,1,0,0
11.98292909,9,0.011427925,1,0,0
5.991464547,7,0.011541073,1,0,0
0,3,0.000565739,1,0,0
8.987196821,9,0.011767368,1,0,0
2.079441542,4,0.011880516,1,0,0
0,2,0.011993664,1,0,0
0,4,0.012106811,1,0,0
4.852030264,13,0.012219959,1,0,0
6.931471806,8,0.010183299,1,0,0
0,3,0.00101833,1,0,0
2.995732274,7,0.012559403,1,0,0
4.605170186,6,0.01267255,1,0,0
0,2,0.001810364,1,0,1
0,1,0.003733876,1,0,0
0,1,0.003847024,1,0,0
14.33407575,1,0.013125141,1,0,0
2.995732274,4,0.013238289,1,0,0
0,2,0.00305499,1,0,0
0,3,0.00101833,1,0,0
1.386294361,7,0.013577733,1,0,0
0,4,0.01369088,1,0,0
0,2,0.001810364,1,0,1
35.94878728,6,0.000678887,1,0,1
7.167037877,7,0.008372935,1,0,0
1.386294361,3,0.014143471,1,0,0
0,2,0.014256619,1,0,0
11.98292909,6,0.014369767,1,0,0
0,3,0.000565739,1,0,0
8.987196821,6,0.014596062,1,0,0
0.693147181,4,0.01470921,1,0,0
0,3,0.001470921,1,0,0
15.94238515,12,0.008938674,1,0,1
0,4,0.015048654,1,0,0
2.995732274,8,0.015161801,1,0,0
2.995732274,11,0.015274949,1,0,0
149.7866137,9,0.015388097,1,0,0
2.995732274,6,0.015501245,1,0,0
2.079441542,6,0.015614392,1,0,0
0,3,0.01572754,1,0,0
0,2,0.001810364,1,0,1
0,3,0.00101833,1,0,0
2.995732274,9,0.016066983,1,0,0
0,9,0.016180131,1,0,0
0,2,0.016293279,1,0,0
0,3,0.00101833,1,0,0
3.465735903,4,0.016519575,1,0,0
2.995732274,6,0.016632722,1,0,0
0,2,0.001810364,1,0,1
5.545177444,5,0.016859018,1,0,0
0,3,0.000226296,1,0,0
19.70935416,10,0.017085313,1,0,0
0,4,0.017198461,1,0,0
0,11,0.002828694,1,0,1
23.96585819,8,0.017424757,1,0,0
2.995732274,10,0.017537905,1,0,0
0,1,0.017651052,1,0,0
8.987196821,10,0.0177642,1,0,0
149.7866137,9,0.015388097,1,0,0
0,3,0.000226296,1,0,0
0,1,0.004865354,1,0,0
0,11,0.002828694,1,0,1
47.13400828,7,0.002941842,1,0,0
0,2,0.001810364,1,0,1
0,4,0.018556234,1,0,0
150.5077954,7,0.003620729,1,0,1
4.158883083,4,0.01878253,1,0,0
7.624618986,4,0.018895678,1,0,0
5.991464547,3,0.019008826,1,0,0
0,3,0.019121973,1,0,0
0,1,0.017651052,1,0,0
2.995732274,5,0.019348269,1,0,0
149.7866137,9,0.015388097,1,0,0
0,3,0.000226296,1,0,0
0,1,0.004865354,1,0,0
0,11,0.002828694,1,0,1
23.96585819,8,0.017424757,1,0,0
0,3,0.020027155,1,0,0
0,2,0.001810364,1,0,1
0,5,0.006788866,1,0,0
0,3,0.020366599,1,0,0
0,3,0.020479747,1,0,0
150.5077954,7,0.003620729,1,0,1
4.158883083,4,0.01878253,1,0,0
3.465735903,4,0.02081919,1,0,0
5.991464547,3,0.019008826,1,0,0
2.079441542,4,0.021045485,1,0,0
3.218875825,9,0.021158633,1,0,0
0,2,0.021271781,1,0,0
0,1,0.021384929,1,0,0
4.605170186,9,0.021498076,1,0,0
0,10,0.021611224,1,0,0
2.302585093,7,0.021724372,1,0,0
2.995732274,6,0.02183752,1,0,0
2.079441542,4,0.021950668,1,0,0
0,2,0.001810364,1,0,1
0,4,0.001923512,1,0,0
0,4,0.022290111,1,0,0
0,3,0.022403259,1,0,0
2.079441542,4,0.022516406,1,0,0
0,5,0.022629554,1,0,0
0,3,0.00101833,1,0,0
1.791759469,6,0.02285585,1,0,0
0,3,0.022403259,1,0,0
2.302585093,8,0.023082145,1,0,0
4.605170186,9,0.021498076,1,0,0
0,10,0.021611224,1,0,0
0,3,0.000565739,1,0,0
